Organism,Country,Year,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%
Klebsiella pneumoniae,Denmark,2026.0,24.31,11.88,36.79
Klebsiella pneumoniae,Denmark,2027.0,24.9,12.19,37.12
Klebsiella pneumoniae,Denmark,2028.0,25.49,13.3,37.84
Klebsiella pneumoniae,Denmark,2029.0,26.08,12.31,37.76
Klebsiella pneumoniae,Denmark,2030.0,26.67,15.26,38.19
Klebsiella pneumoniae,France,2025.0,54.82,44.4,64.77
Klebsiella pneumoniae,France,2026.0,56.96,47.57,66.74
Klebsiella pneumoniae,France,2027.0,59.09,49.23,69.6
Klebsiella pneumoniae,France,2028.0,61.22,49.98,71.25
Klebsiella pneumoniae,France,2029.0,63.36,53.66,73.23
Klebsiella pneumoniae,France,2030.0,65.5,55.6,74.9
Klebsiella pneumoniae,Germany,2025.0,39.23,24.85,53.78
Klebsiella pneumoniae,Germany,2026.0,40.65,25.51,55.99
Klebsiella pneumoniae,Germany,2027.0,42.07,25.55,55.53
Klebsiella pneumoniae,Germany,2028.0,43.5,27.79,58.46
Klebsiella pneumoniae,Germany,2029.0,44.92,30.66,61.54
Klebsiella pneumoniae,Germany,2030.0,46.35,30.45,62.57
Klebsiella pneumoniae,Greece,2025.0,88.76,77.21,100.0
Klebsiella pneumoniae,Greece,2026.0,89.94,77.63,100.0
Klebsiella pneumoniae,Greece,2027.0,91.11,79.1,100.0
Klebsiella pneumoniae,Greece,2028.0,92.29,80.06,100.0
Klebsiella pneumoniae,Greece,2029.0,93.47,81.99,100.0
Klebsiella pneumoniae,Greece,2030.0,94.65,82.32,100.0
Klebsiella pneumoniae,Hungary,2025.0,50.31,34.16,67.07
Klebsiella pneumoniae,Hungary,2026.0,49.02,32.02,63.4
Klebsiella pneumoniae,Hungary,2027.0,47.74,30.27,64.83
Klebsiella pneumoniae,Hungary,2028.0,46.45,28.92,65.0
Klebsiella pneumoniae,Hungary,2029.0,45.17,29.53,62.74
Klebsiella pneumoniae,Hungary,2030.0,43.88,27.66,62.07
Klebsiella pneumoniae,India,2025.0,80.17,71.44,88.24
Klebsiella pneumoniae,India,2026.0,80.08,71.5,88.48
Klebsiella pneumoniae,India,2027.0,79.98,71.33,88.44
Klebsiella pneumoniae,India,2028.0,79.88,71.82,89.15
Klebsiella pneumoniae,India,2029.0,79.78,71.24,89.27
Klebsiella pneumoniae,India,2030.0,79.69,72.08,88.88
Klebsiella pneumoniae,Ireland,2025.0,24.48,10.5,37.35
Klebsiella pneumoniae,Ireland,2026.0,24.82,11.52,40.62
Klebsiella pneumoniae,Ireland,2027.0,25.15,11.34,38.54
Klebsiella pneumoniae,Ireland,2028.0,25.48,12.0,39.08
Klebsiella pneumoniae,Ireland,2029.0,25.81,13.82,40.16
Klebsiella pneumoniae,Ireland,2030.0,26.14,11.95,39.59
Klebsiella pneumoniae,Israel,2025.0,62.14,52.4,72.06
Klebsiella pneumoniae,Israel,2026.0,62.41,52.03,71.88
Klebsiella pneumoniae,Israel,2027.0,62.68,51.76,73.66
Klebsiella pneumoniae,Israel,2028.0,62.96,51.85,74.01
Klebsiella pneumoniae,Israel,2029.0,63.23,53.15,74.71
Klebsiella pneumoniae,Israel,2030.0,63.5,51.83,72.97
Klebsiella pneumoniae,Italy,2025.0,81.31,63.5,98.01
Klebsiella pneumoniae,Italy,2026.0,83.66,67.22,98.7
Klebsiella pneumoniae,Italy,2027.0,86.01,69.96,100.0
Klebsiella pneumoniae,Italy,2028.0,88.36,73.5,100.0
Klebsiella pneumoniae,Italy,2029.0,90.72,74.9,100.0
Klebsiella pneumoniae,Italy,2030.0,93.07,78.23,100.0
Klebsiella pneumoniae,"Korea, South",2025.0,43.89,26.9,60.84
Klebsiella pneumoniae,"Korea, South",2026.0,44.82,27.22,61.73
Klebsiella pneumoniae,"Korea, South",2027.0,45.76,29.13,62.0
Klebsiella pneumoniae,"Korea, South",2028.0,46.69,30.69,64.45
Klebsiella pneumoniae,"Korea, South",2029.0,47.63,30.15,66.26
Klebsiella pneumoniae,"Korea, South",2030.0,48.57,30.89,66.1
Klebsiella pneumoniae,Mexico,2025.0,89.85,74.91,100.0
Klebsiella pneumoniae,Mexico,2026.0,92.93,76.63,100.0
Klebsiella pneumoniae,Mexico,2027.0,96.0,82.85,100.0
Klebsiella pneumoniae,Mexico,2028.0,99.08,83.8,100.0
Klebsiella pneumoniae,Mexico,2029.0,100.0,88.11,100.0
Klebsiella pneumoniae,Mexico,2030.0,100.0,90.3,100.0
Klebsiella pneumoniae,Poland,2025.0,83.21,72.51,93.47
Klebsiella pneumoniae,Poland,2026.0,83.94,72.02,95.01
Klebsiella pneumoniae,Poland,2027.0,84.67,74.2,95.92
Klebsiella pneumoniae,Poland,2028.0,85.41,75.34,95.67
Klebsiella pneumoniae,Poland,2029.0,86.14,75.3,97.3
Klebsiella pneumoniae,Poland,2030.0,86.87,76.35,97.63
Klebsiella pneumoniae,Portugal,2025.0,65.2,51.22,79.09
Klebsiella pneumoniae,Portugal,2026.0,66.7,52.55,80.73
Klebsiella pneumoniae,Portugal,2027.0,68.19,53.54,82.74
Klebsiella pneumoniae,Portugal,2028.0,69.69,55.64,83.76
Klebsiella pneumoniae,Portugal,2029.0,71.19,57.88,85.38
Klebsiella pneumoniae,Portugal,2030.0,72.69,56.92,87.53
Klebsiella pneumoniae,Romania,2025.0,60.38,47.47,73.85
Klebsiella pneumoniae,Romania,2026.0,58.97,45.44,70.89
Klebsiella pneumoniae,Romania,2027.0,57.56,43.4,71.67
Klebsiella pneumoniae,Romania,2028.0,56.15,43.08,69.76
Klebsiella pneumoniae,Romania,2029.0,54.73,40.49,68.42
Klebsiella pneumoniae,Romania,2030.0,53.32,39.78,65.64
Klebsiella pneumoniae,Spain,2025.0,49.32,38.54,59.08
Klebsiella pneumoniae,Spain,2026.0,50.73,40.83,60.03
Klebsiella pneumoniae,Spain,2027.0,52.14,41.76,62.41
Klebsiella pneumoniae,Spain,2028.0,53.56,42.34,64.25
Klebsiella pneumoniae,Spain,2029.0,54.97,45.05,65.42
Klebsiella pneumoniae,Spain,2030.0,56.38,45.65,67.16
Klebsiella pneumoniae,Taiwan,2025.0,56.67,37.96,75.19
Klebsiella pneumoniae,Taiwan,2026.0,58.33,38.32,76.54
Klebsiella pneumoniae,Taiwan,2027.0,59.98,43.27,79.28
Klebsiella pneumoniae,Taiwan,2028.0,61.63,41.58,78.87
Klebsiella pneumoniae,Taiwan,2029.0,63.29,44.88,83.55
Klebsiella pneumoniae,Taiwan,2030.0,64.95,47.26,84.19
Klebsiella pneumoniae,Turkey,2025.0,96.38,77.85,100.0
Klebsiella pneumoniae,Turkey,2026.0,100.0,83.75,100.0
Klebsiella pneumoniae,Turkey,2027.0,100.0,84.7,100.0
Klebsiella pneumoniae,Turkey,2028.0,100.0,90.4,100.0
Klebsiella pneumoniae,Turkey,2029.0,100.0,91.51,100.0
Klebsiella pneumoniae,Turkey,2030.0,100.0,96.14,100.0
Klebsiella pneumoniae,United Kingdom,2025.0,51.67,37.71,64.86
Klebsiella pneumoniae,United Kingdom,2026.0,54.15,40.24,67.05
Klebsiella pneumoniae,United Kingdom,2027.0,56.64,44.5,69.94
Klebsiella pneumoniae,United Kingdom,2028.0,59.12,46.61,72.16
Klebsiella pneumoniae,United Kingdom,2029.0,61.6,49.39,74.75
Klebsiella pneumoniae,United Kingdom,2030.0,64.09,52.58,76.88
Klebsiella pneumoniae,United States,2025.0,31.05,19.74,43.25
Klebsiella pneumoniae,United States,2026.0,31.95,19.14,43.96
Klebsiella pneumoniae,United States,2027.0,32.85,19.62,44.09
Klebsiella pneumoniae,United States,2028.0,33.75,21.97,47.52
Klebsiella pneumoniae,United States,2029.0,34.65,23.11,46.24
Klebsiella pneumoniae,United States,2030.0,35.55,22.38,48.22
Acinetobacter baumannii,Croatia,2025.0,99.87,95.84,100.0
Acinetobacter baumannii,Croatia,2026.0,100.0,96.46,100.0
Acinetobacter baumannii,Croatia,2027.0,100.0,96.86,100.0
Acinetobacter baumannii,Croatia,2028.0,100.0,96.72,100.0
Acinetobacter baumannii,Croatia,2029.0,100.0,96.68,100.0
Acinetobacter baumannii,Croatia,2030.0,100.0,97.59,100.0
Acinetobacter baumannii,France,2025.0,58.74,38.29,75.48
Acinetobacter baumannii,France,2026.0,61.43,45.04,79.14
Acinetobacter baumannii,France,2027.0,64.12,46.73,81.92
Acinetobacter baumannii,France,2028.0,66.82,49.87,84.9
Acinetobacter baumannii,France,2029.0,69.52,52.34,87.32
Acinetobacter baumannii,France,2030.0,72.21,54.35,89.71
Acinetobacter baumannii,Italy,2025.0,91.77,80.2,100.0
Acinetobacter baumannii,Italy,2026.0,92.47,81.2,100.0
Acinetobacter baumannii,Italy,2027.0,93.16,81.44,100.0
Acinetobacter baumannii,Italy,2028.0,93.86,82.14,100.0
Acinetobacter baumannii,Italy,2029.0,94.56,82.12,100.0
Acinetobacter baumannii,Italy,2030.0,95.25,83.56,100.0
Acinetobacter baumannii,Spain,2025.0,68.69,61.45,74.89
Acinetobacter baumannii,Spain,2026.0,68.31,61.39,74.19
Acinetobacter baumannii,Spain,2027.0,67.93,61.14,75.26
Acinetobacter baumannii,Spain,2028.0,67.55,61.47,73.7
Acinetobacter baumannii,Spain,2029.0,67.17,61.11,73.74
Acinetobacter baumannii,Spain,2030.0,66.79,59.83,72.95
Acinetobacter baumannii,United States,2025.0,55.56,41.33,70.46
Acinetobacter baumannii,United States,2026.0,55.98,42.6,69.53
Acinetobacter baumannii,United States,2027.0,56.4,42.92,70.84
Acinetobacter baumannii,United States,2028.0,56.81,42.88,70.38
Acinetobacter baumannii,United States,2029.0,57.23,42.74,71.14
Acinetobacter baumannii,United States,2030.0,57.65,44.5,72.43
Escherichia coli,Argentina,2025.0,62.25,40.35,84.47
Escherichia coli,Argentina,2026.0,64.27,43.62,84.58
Escherichia coli,Argentina,2027.0,66.29,44.46,86.81
Escherichia coli,Argentina,2028.0,68.31,45.48,89.67
Escherichia coli,Argentina,2029.0,70.34,47.31,92.68
Escherichia coli,Argentina,2030.0,72.36,50.82,93.56
Escherichia coli,Australia,2025.0,44.8,28.76,62.13
Escherichia coli,Australia,2026.0,46.82,31.65,61.49
Escherichia coli,Australia,2027.0,48.84,32.28,62.2
Escherichia coli,Australia,2028.0,50.86,34.85,66.94
Escherichia coli,Australia,2029.0,52.88,36.58,68.94
Escherichia coli,Australia,2030.0,54.9,38.68,71.62
Escherichia coli,Belgium,2025.0,56.37,44.83,67.93
Escherichia coli,Belgium,2026.0,58.67,47.46,68.65
Escherichia coli,Belgium,2027.0,60.98,48.7,71.39
Escherichia coli,Belgium,2028.0,63.28,53.31,74.65
Escherichia coli,Belgium,2029.0,65.59,54.35,77.2
Escherichia coli,Belgium,2030.0,67.89,55.74,78.36
Escherichia coli,Brazil,2025.0,69.18,55.29,84.5
Escherichia coli,Brazil,2026.0,71.67,58.79,86.06
Escherichia coli,Brazil,2027.0,74.16,60.72,87.34
Escherichia coli,Brazil,2028.0,76.64,64.74,90.84
Escherichia coli,Brazil,2029.0,79.14,65.29,94.28
Escherichia coli,Brazil,2030.0,81.62,68.13,96.32
Escherichia coli,Canada,2025.0,39.79,27.19,51.9
Escherichia coli,Canada,2026.0,41.52,29.84,54.07
Escherichia coli,Canada,2027.0,43.25,30.21,55.48
Escherichia coli,Canada,2028.0,44.99,32.75,58.64
Escherichia coli,Canada,2029.0,46.72,35.54,59.54
Escherichia coli,Canada,2030.0,48.46,37.14,60.35
Escherichia coli,Chile,2025.0,45.06,26.93,60.63
Escherichia coli,Chile,2026.0,45.24,28.0,63.04
Escherichia coli,Chile,2027.0,45.43,27.05,61.38
Escherichia coli,Chile,2028.0,45.62,29.67,61.97
Escherichia coli,Chile,2029.0,45.81,27.31,62.75
Escherichia coli,Chile,2030.0,46.0,29.23,63.31
Escherichia coli,China,2025.0,86.5,77.64,95.43
Escherichia coli,China,2026.0,87.99,79.54,97.61
Escherichia coli,China,2027.0,89.47,79.85,98.14
Escherichia coli,China,2028.0,90.95,82.06,99.65
Escherichia coli,China,2029.0,92.44,84.25,100.0
Escherichia coli,China,2030.0,93.92,84.86,100.0
Escherichia coli,Colombia,2025.0,86.16,71.59,100.0
Escherichia coli,Colombia,2026.0,90.09,74.56,100.0
Escherichia coli,Colombia,2027.0,94.01,76.91,100.0
Escherichia coli,Colombia,2028.0,97.93,80.3,100.0
Escherichia coli,Colombia,2029.0,100.0,84.73,100.0
Escherichia coli,Colombia,2030.0,100.0,89.29,100.0
Escherichia coli,Croatia,2025.0,50.32,30.61,71.51
Escherichia coli,Croatia,2026.0,52.0,34.27,73.09
Escherichia coli,Croatia,2027.0,53.68,35.97,73.58
Escherichia coli,Croatia,2028.0,55.36,36.87,77.78
Escherichia coli,Croatia,2029.0,57.04,37.16,76.9
Escherichia coli,Croatia,2030.0,58.72,40.57,78.53
Escherichia coli,Czech Republic,2025.0,38.57,28.1,49.9
Escherichia coli,Czech Republic,2026.0,39.15,29.02,49.85
Escherichia coli,Czech Republic,2027.0,39.73,28.99,49.95
Escherichia coli,Czech Republic,2028.0,40.32,29.88,52.69
Escherichia coli,Czech Republic,2029.0,40.9,30.57,50.41
Escherichia coli,Czech Republic,2030.0,41.48,30.5,52.73
Escherichia coli,Denmark,2025.0,36.65,21.84,50.28
Escherichia coli,Denmark,2026.0,38.15,24.09,52.12
Escherichia coli,Denmark,2027.0,39.66,25.28,53.36
Escherichia coli,Denmark,2028.0,41.16,28.21,54.68
Escherichia coli,Denmark,2029.0,42.67,27.13,56.57
Escherichia coli,Denmark,2030.0,44.17,30.27,58.73
Escherichia coli,France,2025.0,48.11,38.12,57.16
Escherichia coli,France,2026.0,50.3,41.05,59.96
Escherichia coli,France,2027.0,52.5,42.78,62.36
Escherichia coli,France,2028.0,54.69,44.56,64.3
Escherichia coli,France,2029.0,56.89,47.19,66.32
Escherichia coli,France,2030.0,59.08,49.79,67.58
Escherichia coli,Germany,2025.0,43.05,27.14,58.79
Escherichia coli,Germany,2026.0,44.15,29.66,58.05
Escherichia coli,Germany,2027.0,45.25,31.27,58.99
Escherichia coli,Germany,2028.0,46.35,31.37,61.18
Escherichia coli,Germany,2029.0,47.45,33.88,61.15
Escherichia coli,Germany,2030.0,48.55,33.36,62.87
Escherichia coli,Greece,2025.0,59.68,40.98,79.37
Escherichia coli,Greece,2026.0,62.71,42.69,81.62
Escherichia coli,Greece,2027.0,65.74,47.15,86.2
Escherichia coli,Greece,2028.0,68.77,50.66,89.39
Escherichia coli,Greece,2029.0,71.81,54.21,92.93
Escherichia coli,Greece,2030.0,74.84,57.04,94.62
Escherichia coli,Hungary,2025.0,44.64,29.84,59.13
Escherichia coli,Hungary,2026.0,45.07,30.02,59.95
Escherichia coli,Hungary,2027.0,45.5,30.51,60.11
Escherichia coli,Hungary,2028.0,45.93,31.84,59.96
Escherichia coli,Hungary,2029.0,46.36,33.39,59.85
Escherichia coli,Hungary,2030.0,46.79,32.24,60.04
Escherichia coli,India,2025.0,87.64,73.25,100.0
Escherichia coli,India,2026.0,88.04,73.25,100.0
Escherichia coli,India,2027.0,88.43,72.46,100.0
Escherichia coli,India,2028.0,88.83,72.59,100.0
Escherichia coli,India,2029.0,89.23,73.69,100.0
Escherichia coli,India,2030.0,89.63,74.69,100.0
Escherichia coli,Ireland,2025.0,51.05,39.54,65.48
Escherichia coli,Ireland,2026.0,53.23,39.9,66.45
Escherichia coli,Ireland,2027.0,55.41,42.68,69.39
Escherichia coli,Ireland,2028.0,57.59,43.46,70.98
Escherichia coli,Ireland,2029.0,59.77,45.48,74.46
Escherichia coli,Ireland,2030.0,61.95,47.65,76.0
Escherichia coli,Israel,2025.0,58.66,46.45,71.16
Escherichia coli,Israel,2026.0,59.53,47.4,70.85
Escherichia coli,Israel,2027.0,60.41,49.2,72.62
Escherichia coli,Israel,2028.0,61.28,49.45,73.18
Escherichia coli,Israel,2029.0,62.16,49.55,74.07
Escherichia coli,Israel,2030.0,63.04,51.42,74.7
Escherichia coli,Italy,2025.0,53.93,46.63,62.64
Escherichia coli,Italy,2026.0,54.67,46.09,63.35
Escherichia coli,Italy,2027.0,55.42,46.32,64.73
Escherichia coli,Italy,2028.0,56.17,47.02,64.37
Escherichia coli,Italy,2029.0,56.92,47.63,66.07
Escherichia coli,Italy,2030.0,57.67,49.77,66.09
Escherichia coli,"Korea, South",2025.0,74.72,58.67,90.39
Escherichia coli,"Korea, South",2026.0,77.45,61.41,94.92
Escherichia coli,"Korea, South",2027.0,80.18,64.3,96.69
Escherichia coli,"Korea, South",2028.0,82.92,66.7,99.58
Escherichia coli,"Korea, South",2029.0,85.65,67.74,100.0
Escherichia coli,"Korea, South",2030.0,88.39,72.1,100.0
Escherichia coli,Lithuania,2025.0,48.28,29.62,67.08
Escherichia coli,Lithuania,2026.0,50.65,32.65,70.21
Escherichia coli,Lithuania,2027.0,53.01,33.88,70.75
Escherichia coli,Lithuania,2028.0,55.38,38.35,71.48
Escherichia coli,Lithuania,2029.0,57.75,39.26,74.12
Escherichia coli,Lithuania,2030.0,60.12,44.26,78.84
Escherichia coli,Mexico,2025.0,94.72,82.11,100.0
Escherichia coli,Mexico,2026.0,97.55,84.57,100.0
Escherichia coli,Mexico,2027.0,100.0,85.87,100.0
Escherichia coli,Mexico,2028.0,100.0,90.3,100.0
Escherichia coli,Mexico,2029.0,100.0,91.32,100.0
Escherichia coli,Mexico,2030.0,100.0,94.14,100.0
Escherichia coli,Netherlands,2025.0,44.53,30.86,56.95
Escherichia coli,Netherlands,2026.0,46.9,32.54,60.49
Escherichia coli,Netherlands,2027.0,49.26,36.22,63.08
Escherichia coli,Netherlands,2028.0,51.62,38.02,64.87
Escherichia coli,Netherlands,2029.0,53.99,40.24,67.1
Escherichia coli,Netherlands,2030.0,56.35,42.32,69.97
Escherichia coli,Poland,2025.0,49.11,32.91,63.12
Escherichia coli,Poland,2026.0,50.06,35.63,66.48
Escherichia coli,Poland,2027.0,51.01,35.34,67.58
Escherichia coli,Poland,2028.0,51.96,37.81,66.78
Escherichia coli,Poland,2029.0,52.91,38.56,70.6
Escherichia coli,Poland,2030.0,53.86,39.09,69.77
Escherichia coli,Portugal,2025.0,41.51,26.96,55.14
Escherichia coli,Portugal,2026.0,42.57,29.73,56.96
Escherichia coli,Portugal,2027.0,43.62,29.2,59.01
Escherichia coli,Portugal,2028.0,44.68,30.46,60.28
Escherichia coli,Portugal,2029.0,45.74,28.64,60.48
Escherichia coli,Portugal,2030.0,46.8,31.82,61.0
Escherichia coli,Romania,2025.0,49.57,36.52,60.02
Escherichia coli,Romania,2026.0,49.48,36.56,61.13
Escherichia coli,Romania,2027.0,49.39,36.92,62.71
Escherichia coli,Romania,2028.0,49.3,37.38,62.1
Escherichia coli,Romania,2029.0,49.21,36.98,61.27
Escherichia coli,Romania,2030.0,49.12,36.19,61.39
Escherichia coli,Spain,2025.0,47.72,36.75,59.63
Escherichia coli,Spain,2026.0,49.15,36.79,60.41
Escherichia coli,Spain,2027.0,50.58,39.32,62.11
Escherichia coli,Spain,2028.0,52.02,40.55,64.68
Escherichia coli,Spain,2029.0,53.45,40.21,65.31
Escherichia coli,Spain,2030.0,54.89,43.77,67.07
Escherichia coli,Sweden,2025.0,35.16,23.09,46.92
Escherichia coli,Sweden,2026.0,37.0,25.13,49.49
Escherichia coli,Sweden,2027.0,38.85,27.69,50.31
Escherichia coli,Sweden,2028.0,40.69,29.05,52.02
Escherichia coli,Sweden,2029.0,42.54,30.77,54.27
Escherichia coli,Sweden,2030.0,44.39,32.06,57.09
Escherichia coli,Switzerland,2025.0,46.38,31.15,62.35
Escherichia coli,Switzerland,2026.0,48.51,32.4,64.65
Escherichia coli,Switzerland,2027.0,50.64,34.81,64.9
Escherichia coli,Switzerland,2028.0,52.77,38.24,67.14
Escherichia coli,Switzerland,2029.0,54.91,39.33,71.4
Escherichia coli,Switzerland,2030.0,57.03,41.09,71.25
Escherichia coli,Taiwan,2025.0,69.96,48.06,89.8
Escherichia coli,Taiwan,2026.0,72.29,51.64,91.33
Escherichia coli,Taiwan,2027.0,74.62,55.35,95.21
Escherichia coli,Taiwan,2028.0,76.95,56.95,97.7
Escherichia coli,Taiwan,2029.0,79.29,59.18,98.67
Escherichia coli,Taiwan,2030.0,81.63,59.95,100.0
Escherichia coli,Thailand,2025.0,78.89,61.98,94.37
Escherichia coli,Thailand,2026.0,79.61,62.46,93.8
Escherichia coli,Thailand,2027.0,80.32,63.92,95.26
Escherichia coli,Thailand,2028.0,81.04,64.29,97.0
Escherichia coli,Thailand,2029.0,81.76,66.08,97.11
Escherichia coli,Thailand,2030.0,82.48,66.4,97.44
Escherichia coli,Turkey,2025.0,81.45,70.79,92.59
Escherichia coli,Turkey,2026.0,83.64,71.78,95.21
Escherichia coli,Turkey,2027.0,85.83,74.33,96.51
Escherichia coli,Turkey,2028.0,88.02,77.89,99.18
Escherichia coli,Turkey,2029.0,90.22,78.94,100.0
Escherichia coli,Turkey,2030.0,92.41,81.85,100.0
Escherichia coli,United Kingdom,2025.0,38.23,19.6,59.99
Escherichia coli,United Kingdom,2026.0,38.97,17.99,59.5
Escherichia coli,United Kingdom,2027.0,39.71,21.42,58.83
Escherichia coli,United Kingdom,2028.0,40.46,24.24,59.41
Escherichia coli,United Kingdom,2029.0,41.2,22.84,59.84
Escherichia coli,United Kingdom,2030.0,41.94,23.4,60.24
Escherichia coli,United States,2025.0,49.71,40.77,58.85
Escherichia coli,United States,2026.0,51.88,42.32,62.38
Escherichia coli,United States,2027.0,54.04,43.11,63.34
Escherichia coli,United States,2028.0,56.21,46.17,66.65
Escherichia coli,United States,2029.0,58.38,48.49,67.43
Escherichia coli,United States,2030.0,60.55,50.8,70.1
Staphylococcus aureus,Argentina,2025.0,17.24,5.57,30.76
Staphylococcus aureus,Argentina,2026.0,18.11,5.87,31.42
Staphylococcus aureus,Argentina,2027.0,18.97,8.21,31.8
Staphylococcus aureus,Argentina,2028.0,19.84,8.05,30.95
Staphylococcus aureus,Argentina,2029.0,20.71,8.44,33.09
Staphylococcus aureus,Argentina,2030.0,21.58,9.97,33.02
Staphylococcus aureus,Belgium,2025.0,13.62,4.06,23.37
Staphylococcus aureus,Belgium,2026.0,14.32,5.57,23.04
Staphylococcus aureus,Belgium,2027.0,15.02,4.52,23.96
Staphylococcus aureus,Belgium,2028.0,15.72,5.93,25.5
Staphylococcus aureus,Belgium,2029.0,16.42,6.7,25.47
Staphylococcus aureus,Belgium,2030.0,17.12,7.08,27.18
Staphylococcus aureus,Brazil,2025.0,27.95,5.36,47.52
Staphylococcus aureus,Brazil,2026.0,28.79,5.83,49.71
Staphylococcus aureus,Brazil,2027.0,29.62,6.14,50.46
Staphylococcus aureus,Brazil,2028.0,30.45,8.62,53.95
Staphylococcus aureus,Brazil,2029.0,31.29,9.25,53.49
Staphylococcus aureus,Brazil,2030.0,32.12,9.38,54.4
Staphylococcus aureus,Canada,2025.0,15.15,9.46,21.33
Staphylococcus aureus,Canada,2026.0,16.1,8.99,21.89
Staphylococcus aureus,Canada,2027.0,17.05,11.44,22.81
Staphylococcus aureus,Canada,2028.0,18.0,12.34,23.67
Staphylococcus aureus,Canada,2029.0,18.95,12.48,24.77
Staphylococcus aureus,Canada,2030.0,19.9,13.97,25.65
Staphylococcus aureus,Chile,2025.0,24.15,4.27,43.86
Staphylococcus aureus,Chile,2026.0,25.24,4.77,47.12
